Wahlraum-A,rooms,num_rooms,latlong,lat,lon
"Sprickmannplatz 1, 48159 Münster",['155 - Heidköttersweg'],1,"51.998737399999996,7.594974856015037",51.998737399999996,7.594974856015037
"Sprickmannplatz 7, 48159 Münster",['147 - Killingstraße'],1,"51.99899595,7.594411513785913",51.99899595,7.594411513785913
"Stiftsstraße 19, 48145 Münster",['043 - Overbergstraße' '072 - Dechaneistraße' '073 - Prozessionsweg'],3,"51.96376715,7.650289550752131",51.96376715,7.650289550752131
"Stühmerweg 10, 48147 Münster",['045 - Zeppelinstraße' '046 - Kolpingstraße'],2,"51.9694873,7.635009555835926",51.9694873,7.635009555835926
"Südlohnweg 1, 48161 Münster",['311 - Heekweg' '333 - Doornbeckeweg'],2,"51.973693499999996,7.560533384811269",51.973693499999996,7.560533384811269
"Thomas-Morus-Weg 7, 48147 Münster","['041 - Holsteiner Straße' '061 - Hoppengarten'
 '064 - Mecklenburger Straße' '065 - Kösliner Straße' '066 - Rumphorstweg']",5,"51.97468825,7.644125496047033",51.97468825,7.644125496047033
"Tilbecker Straße 24-26, 48161 Münster","['291 - Annette-von-Droste-Hülshoff-Straße' '292 - Havixbecker Straße'
 '294 - Stellmacherweg' '295 - Paul-Gerhardt-Straße'
 '296 - Schelmenstiege']",5,"51.9543838,7.5294497",51.9543838,7.5294497
"Unckelstraße 19, 48165 Münster",['251 - Geistkamp' '252 - Hülsebrockstraße' '253 - Marktallee'],3,"51.9065353,7.646594849248558",51.9065353,7.646594849248558
"Uppenkampstiege 17, 48147 Münster",['052 - Nevinghoff/Flandernstraße' '053 - Uppenkampstiege'],2,"51.9766616,7.625917591294643",51.9766616,7.625917591294643
"Vennheideweg 100, 48165 Münster",['234 - Vennheideweg'],1,"51.920758899999996,7.613674901731838",51.920758899999996,7.613674901731838
"Von-Holte-Straße 56, 48167 Münster",['212 - Zumbuschstraße' '213 - Am Berler Kamp'],2,"51.9146987,7.7202582",51.9146987,7.7202582
"Von-Humboldt-Straße 14, 48159 Münster","['141 - Feldstiegenkamp' '142 - Kinderhaus Zentrum' '143 - Neuer Heidkamp'
 '144 - Helmholtzweg']",4,"51.99835155,7.604638020118084",51.99835155,7.604638020118084
"Von-Kluck-Straße 22, 48151 Münster",['095 - Antoniuskirche' '112 - Hornstraße'],2,"51.9545184,7.6234543",51.9545184,7.6234543
"Vörnste Esch 19, 48167 Münster",['202 - Delstrup' '203 - Kranichweg' '204 - Anton-Knubel-Weg'],3,"51.9323056,7.673866149953675",51.9323056,7.673866149953675
"Weißdornweg 40, 48159 Münster",['151 - Sprakel' '152 - Sandruper Straße'],2,"52.036933149999996,7.6095313379943885",52.036933149999996,7.6095313379943885
"Westfalenstraße 203, 48165 Münster",['243 - Am Klosterwald' '254 - Friedhofstraße' '262 - Hansestraße'],3,"51.9008006,7.641498432092007",51.9008006,7.641498432092007
"Wiedaustraße 114, 48163 Münster",['261 - Loevelingloh'],1,"51.894243849999995,7.57817422018965",51.894243849999995,7.57817422018965
"Wiener Straße 53, 48145 Münster",['063 - Ostmarkstraße' '071 - Kirchstraße'],2,"51.96880045,7.650988831189711",51.96880045,7.650988831189711
"Zum Erlenbusch 15, 48167 Münster",['225 - Angelsachsenweg'],1,"51.9246104,7.673691163250751",51.9246104,7.673691163250751
"Zum Häpper 10, 48163 Münster","['264 - Auf der Woort' '265 - Pater-Kolbe-Straße' '266 - Zur Windmühle'
 '267 - Emmerweg']",4,"51.88487405,7.605494331904568",51.88487405,7.605494331904568
